句号,汉语句,撒尼语IPA,直译,汉字注音,音频文件,页码
1,您好！,n133tsa21!,你好,尼扎!,1.问候与拜访\001.mp3,2
2,您早!,nr3ne21a33!,您早啊,尼乃啊！,1.问候与拜访\002.mp3,2
3,吃了吗?,tsp33 dzp21dzp21a33?,饭吃吃,遭早早啊？,1.问候与拜访\003.mp3,2
4,吃过了。,dzp21xp33α33,吃过了 一、问候与拜访·3,早哈啊。,1.问候与拜访\004.mp3,2
5,你从哪里来?,ieeleelleop h133,你   哪里  从来是,你考搭嘎朵哩安?,1.问候与拜访\005.mp3,3
6,我从家里来。,np33 hae33gu33 kp33 do33133.,我家里 从来,敖哈哥嘎朵哩。,1.问候与拜访\006.mp3,3
7,你也来赶集吗？,ielssel cellzxueemyY ceeu nr33 赶集 是吗 直译你也,,你喃棵河哩按来?,1.问候与拜访\007.mp3,3
